"Name","Total Population","Hispanic or Latino (of any race)","Not Hispanic or Latino (of any race)","Total (One Race; Not Hispanic or Latino)","White (One Race; Not Hispanic or Latino)","Black or African American (One Race; Not Hispanic or Latino)","American Indian and Alaska Native (One Race; Not Hispanic or Latino)","Asian (One Race; Not Hispanic or Latino)","Native Hawaiian and Other Pacific Islander (One Race; Not Hispanic or Latino)","Some Other Race (One Race; Not Hispanic or Latino)","Two or More Races (Not Hispanic or Latino)"
"McHenry County","310,229","46,705","263,524","252,643","238,659","4,073","325","8,669","45","872","10,881"
"McLean County","170,954","10,524","160,430","153,161","129,440","14,699","258","8,108","38","618","7,269"
"Macon County","103,998","2,733","101,265","96,139","75,117","18,886","178","1,512","31","415","5,126"
"Macoupin County","44,967","570","44,397","42,560","41,850","368","109","179","0","54","1,837"
"Madison County","265,859","10,797","255,062","242,658","213,793","24,671","559","2,718","92","825","12,404"
"Marion County","37,729","712","37,017","35,200","33,150","1,509","94","349","1","97","1,817"
"Marshall County","11,742","323","11,419","11,030","10,858","86","18","43","0","25","389"
"Mason County","13,086","184","12,902","12,450","12,339","49","24","26","1","11","452"
"Massac County","14,169","333","13,836","13,097","12,077","875","35","43","6","61","739"
"Menard County","12,297","160","12,137","11,676","11,502","80","18","49","2","25","461"
"Mercer County","15,699","468","15,231","14,728","14,578","68","26","37","2","17","503"
"Monroe County","34,962","646","34,316","33,105","32,680","118","53","186","2","66","1,211"
"Montgomery County","28,288","587","27,701","26,838","25,709","916","49","131","7","26","863"
"Morgan County","32,915","838","32,077","30,870","28,489","1,961","54","266","16","84","1,207"
"Moultrie County","14,526","194","14,332","13,931","13,747","84","26","49","0","25","401"
"Ogle County","51,788","5,797","45,991","44,098","43,120","543","72","259","0","104","1,893"
"Peoria County","181,830","10,091","171,739","163,180","120,629","33,635","342","7,730","61","783","8,559"
"Perry County","20,945","714","20,231","19,626","17,779","1,653","34","125","1","34","605"
"Piatt County","16,673","247","16,426","15,838","15,600","83","23","80","1","51","588"
"Pike County","14,739","262","14,477","14,039","13,874","63","33","43","6","20","438"
"Pope County","3,763","71","3,692","3,546","3,491","38","1","16","0","0","146"
"Pulaski County","5,193","204","4,989","4,770","3,245","1,462","36","13","0","14","219"
"Putnam County","5,637","348","5,289","5,136","5,073","26","7","18","4","8","153"
"Randolph County","30,163","1,031","29,132","28,054","25,460","2,381","48","86","7","72","1,078"
"Richland County","15,813","273","15,540","15,068","14,813","75","28","123","7","22","472"
"Rock Island County","144,672","19,842","124,830","118,648","97,689","16,169","240","4,033","35","482","6,182"
"St. Clair County","257,400","12,582","244,818","231,955","150,496","76,013","490","3,623","181","1,152","12,863"
"Saline County","23,768","473","23,295","22,286","21,309","692","69","122","0","94","1,009"
"Sangamon County","196,343","5,309","191,034","181,584","150,467","25,686","349","4,300","55","727","9,450"
"Schuyler County","6,902","152","6,750","6,512","6,157","283","28","25","2","17","238"
"Scott County","4,949","48","4,901","4,770","4,747","5","1","11","1","5","131"
"Shelby County","20,990","213","20,777","20,340","20,116","65","35","83","1","40","437"
"Stark County","5,400","132","5,268","5,123","5,070","17","8","23","0","5","145"
"Stephenson County","44,630","2,254","42,376","40,331","35,405","4,374","80","306","11","155","2,045"
"Tazewell County","131,343","3,161","128,182","123,235","119,882","1,629","279","1,080","41","324","4,947"
"Union County","17,244","867","16,377","15,709","15,331","226","46","67","11","28","668"
"Vermilion County","74,188","3,816","70,372","67,400","56,186","10,247","140","568","10","249","2,972"
"Wabash County","11,361","178","11,183","10,860","10,520","53","15","251","6","15","323"
"Warren County","16,835","1,789","15,046","14,492","13,494","577","31","329","15","46","554"
"Washington County","13,761","224","13,537","13,186","12,976","85","25","65","20","15","351"
"Wayne County","16,179","182","15,997","15,599","15,400","90","26","49","5","29","398"
"White County","13,877","188","13,689","13,218","13,007","91","22","65","18","15","471"
"Whiteside County","55,691","7,131","48,560","46,606","45,341","741","60","306","9","149","1,954"
"Will County","696,355","130,851","565,504","542,988","418,418","79,256","711","42,416","82","2,105","22,516"
"Williamson County","67,153","1,779","65,374","62,219","58,193","2,809","230","771","9","207","3,155"
"Winnebago County","285,350","40,952","244,398","231,137","183,235","38,240","559","7,938","66","1,099","13,261"
"Woodford County","38,467","740","37,727","36,471","35,844","269","42","217","10","89","1,256"
